"Timestamp","Ghost: ""After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.""","Pretty Woman: ""A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.""","Home Alone: ""An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.""","Teenage Mutant Ninja Turtles: ""Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.""","The Hunt for Red October: ""In November 1984, the Soviet Union's best submarine Captain in their newest sub violates orders and heads for the U.S. Is he trying to defect or to start a war?""","Total Recall: ""When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?"""
"2021/09/04 4:24:50 PM AST","Agree","Neutral","Strongly agree","Strongly agree","Have not seen ","Strongly agree"
"2021/09/04 4:31:57 PM AST","Agree","Haven’t seen","Agree","Agree","Haven’t seen","Agree"
"2021/09/04 4:36:17 PM AST","Agree","Strongly agree","Disagree","Neutral","Strongly agree","Agree"
"2021/09/04 6:23:51 PM AST","Disagree","Agree","Agree","","Disagree","Agree"
"2021/09/04 7:59:21 PM AST","Neutral","Strongly agree","Strongly agree","Agree","Never seen it","Never seen it"
